Distance plane (km),Depot,Sakhir,Jeddah,Melbourne,Baku,Miami,Imola,Monaco,Barcelona,Montreal,Spielberg,Silverstone,Budapest,Spa Francorchamps,Zandvoort,Monza,Singapore,Suzuka,Lusail,Austin,Mexico City,Sao Paulo,Las Vegas,Yas Marina,Shanghai
Depot,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.010,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.020,0.021,0.022,0.023,0.024,0.025
Sakhir,0.002,0.000,1258.535,12112.440,1595.517,12185.840,4018.662,4332.251,4711.296,10258.850,3911.454,5158.122,3629.339,4640.582,4805.267,4242.443,6326.547,8053.664,111.883,12908.350,13990.550,11813.430,12943.200,446.285,6804.675
Jeddah,0.003,1258.535,0.000,12817.250,2316.872,11605.580,3559.505,3810.015,4087.451,9929.184,3585.499,4815.360,3388.050,4307.595,4515.069,3797.279,7353.358,9292.703,1329.144,12631.850,13574.710,10555.360,13047.120,1615.739,8062.024
Melbourne,0.004,12112.440,12817.250,0.000,12989.660,15594.310,16086.580,16421.550,16823.520,16740.550,15878.970,16947.300,15546.280,16511.660,16572.390,16287.360,6057.901,8129.499,12000.590,14286.610,13563.450,13063.480,13131.260,11675.190,8077.950
Baku,0.005,1595.517,2316.872,12989.660,0.000,11015.550,3135.349,3483.411,3945.902,8929.863,2890.160,4030.072,2556.675,3544.798,3652.043,3312.962,6946.990,7342.988,1661.209,11488.690,12631.970,12216.550,11373.450,1822.554,6337.903
Miami,0.006,12185.840,11605.580,15594.310,11015.550,0.000,8172.759,7871.396,7536.152,2254.479,8278.577,7043.694,8573.709,7556.542,7408.921,7945.665,16953.310,12224.490,12295.510,1766.968,2064.235,6596.108,3492.313,12599.640,13248.820
Imola,0.007,4018.662,3559.505,16086.580,3135.349,8172.759,0.000,348.919,828.207,6371.985,398.130,1272.977,684.629,803.300,1038.821,237.840,10077.800,9598.489,4129.420,9074.125,10054.760,9611.787,9591.712,4443.692,8986.865
Monaco,0.008,4332.251,3810.015,16421.550,3483.411,7871.396,348.919,0.000,486.568,6121.986,690.208,1118.784,1011.935,752.988,985.494,255.986,10423.980,9873.873,4443.540,8824.002,9778.900,9306.796,9413.815,4761.976,9301.380
Barcelona,0.009,4711.296,4087.451,16823.520,3945.902,7536.152,828.207,486.568,0.000,5891.291,1173.404,1193.860,1498.431,1026.461,1215.357,723.128,10873.160,10323.360,4823.128,8581.574,9487.470,8834.406,9287.967,5148.371,9780.260
Montreal,0.010,10258.850,9929.184,16740.550,8929.863,2254.479,6371.985,6121.986,5891.291,0.000,6389.792,5137.236,6644.233,5654.780,5469.945,6134.652,14805.120,10583.460,10362.480,2702.664,3732.085,8160.232,3612.146,10635.080,11341.910
Spielberg,0.011,3911.454,3585.499,15878.970,2890.160,8278.577,398.130,690.208,1173.404,6389.792,0.000,1253.973,340.160,735.286,930.130,455.494,9834.066,9203.461,4020.025,9082.214,10104.410,9994.402,9494.094,4321.069,8611.392
Silverstone,0.012,5158.122,4815.360,16947.300,4030.072,7043.694,1272.977,1118.784,1193.860,5137.236,1253.973,0.000,1531.038,518.970,380.072,1039.016,10902.370,9507.341,5265.728,7832.847,8850.591,9521.971,8320.161,5560.734,9175.797
Budapest,0.013,3629.339,3388.050,15546.280,2556.675,8573.709,684.629,1011.935,1498.431,6644.233,340.160,1531.038,0.000,1017.507,1176.662,790.937,9497.385,8931.904,3736.342,9325.457,10369.480,10294.600,9664.757,4029.738,8302.330
Spa Francorchamps,0.014,4640.582,4307.595,16511.660,3544.798,7556.542,803.300,752.988,1026.461,5654.780,735.286,518.970,1017.507,0.000,238.726,589.401,10454.010,9366.012,4748.461,8348.566,9369.539,9728.534,8800.559,5045.250,8926.409
Zandvoort,0.015,4805.267,4515.069,16572.390,3652.043,7408.921,1038.821,985.494,1215.357,5469.945,930.130,380.072,1176.662,238.726,0.000,828.023,10523.790,9257.243,4911.874,8157.004,9193.117,9807.311,8577.451,5202.147,8867.765
Monza,0.016,4242.443,3797.279,16287.360,3312.962,7945.665,237.840,255.986,723.128,6134.652,455.494,1039.016,790.937,589.401,828.023,0.000,10259.880,9618.917,4352.847,8836.653,9820.158,9555.364,9359.117,4664.511,9057.187
Singapore,0.017,6326.547,7353.358,6057.901,6946.990,16953.310,10077.800,10423.980,10873.160,14805.120,9834.066,10902.370,9497.385,10454.010,10523.790,10259.880,0.000,5035.940,6218.807,15843.630,16613.830,15982.090,14220.490,5882.206,3806.815
Suzuka,0.018,8053.664,9292.703,8129.499,7342.988,12224.490,9598.489,9873.873,10323.360,10583.460,9203.461,9507.341,8931.904,9366.012,9257.243,9618.917,5035.940,0.000,8003.359,10829.710,11599.390,18737.350,9185.890,7787.207,1477.419
Lusail,0.019,111.883,1329.144,12000.590,1661.209,12295.510,4129.420,4443.540,4823.128,10362.480,4020.025,5265.728,3736.342,4748.461,4911.874,4352.847,6218.807,8003.359,0.000,13007.820,14094.460,11883.350,13022.360,336.812,6741.507
Austin,0.020,12908.350,12631.850,14286.610,11488.690,1766.968,9074.125,8824.002,8581.574,2702.664,9082.214,7832.847,9325.457,8348.566,8157.004,8836.653,15843.630,10829.710,13007.820,0.000,1202.456,8084.749,1759.809,13259.550,12043.650
Mexico City,0.021,13990.550,13574.710,13563.450,12631.970,2064.235,10054.760,9778.900,9487.470,3732.085,10104.410,8850.591,10369.480,9369.539,9193.117,9820.158,16613.830,11599.390,14094.460,1202.456,0.000,7430.883,2433.179,14365.810,12921.320
Sao Paulo,0.022,11813.430,10555.360,13063.480,12216.550,6596.108,9611.787,9306.796,8834.406,8160.232,9994.402,9521.971,10294.600,9728.534,9807.311,9555.364,15982.090,18737.350,11883.350,8084.749,7430.883,0.000,9787.574,12148.780,18553.700
Las Vegas,0.023,12943.200,13047.120,13131.260,11373.450,3492.313,9591.712,9413.815,9287.967,3612.146,9494.094,8320.161,9664.757,8800.559,8577.451,9359.117,14220.490,9185.890,13022.360,1759.809,2433.179,9787.574,0.000,13192.930,10488.560
Yas Marina,0.024,446.285,1615.739,11675.190,1822.554,12599.640,4443.692,4761.976,5148.371,10635.080,4321.069,5560.734,4029.738,5045.250,5202.147,4664.511,5882.206,7787.207,336.812,13259.550,14365.810,12148.780,13192.930,0.000,6494.026
Shanghai,0.025,6804.675,8062.024,8077.950,6337.903,13248.820,8986.865,9301.380,9780.260,11341.910,8611.392,9175.797,8302.330,8926.409,8867.765,9057.187,3806.815,1477.419,6741.507,12043.650,12921.320,18553.700,10488.560,6494.026,0.000